FemaleFrequency,MaleFrequency
3.00E-05,1.00E-05
0,0
0.0213,0.0049
0.00148,0.00034
0.01423,0.00328
0.00352,0.00081
0.00554,0.00128
1.00E-05,0
6.00E-04,0.00014
0.00026,6.00E-05
0.00286,0.00066
0.00285,0.00066
0.00233,0.00054
0.00175,4.00E-04
0.03701,0.00852
0.00123,0.00028
0.02349,0.00541
0.00292,0.00067
0.00077,0.00018
0.00025,6.00E-05
0.00291,0.00067
0.00106,0.00024
0.00151,0.00035
0.00801,0.00184
0,0
0.00595,0.00137
0.00671,0.00154
0.00393,9.00E-04
0.00161,0.00037
4.00E-05,1.00E-05
0.00268,0.00062
0.00408,0.00094
0.00027,6.00E-05
0.00263,6.00E-04
0.00021,5.00E-05
0.0041,0.00094
0.00331,0.00076
0.01081,0.00249
0.00846,0.00195
0.01683,0.00388
0.00028,6.00E-05
0.00175,4.00E-04
0.00268,0.00062
0.00263,6.00E-04
0.00613,0.00141
0.00131,3.00E-04
0.00847,0.00195
0.00036,8.00E-05
0.00175,4.00E-04
3.00E-05,1.00E-05
0.00023,5.00E-05
6.00E-04,0.00014
0.00175,4.00E-04
0.00204,0.00047
0.00263,6.00E-04
0.04271,0.00983
0.00516,0.00119
0.00156,0.00036
0.00204,0.00047
0.00204,0.00047
0.01385,0.00319
0.00025,6.00E-05
0.00442,0.00102
7.00E-04,0.00016
0.00976,0.00225
0.00359,0.00083
0.02106,0.00485
0.00175,4.00E-04
0.0055,0.00127
0.00175,4.00E-04
0.00175,4.00E-04
0.00292,0.00067
0.00292,0.00067
0.00053,0.00012
0.04749,0.01093
0.01594,0.00367
0.00127,0.00029
0.01319,0.00304
0.00033,8.00E-05
0.00835,0.00192
0.03501,0.00806
0.00324,0.00075
0.00388,0.00089
0.02583,0.00595
0.00085,2.00E-04
0.00175,4.00E-04
0.00078,0.00018
0.00157,0.00036
0.00377,0.00087
0.00108,0.00025
0.00233,0.00054
0.00108,0.00025
0.01515,0.00349
0.00314,0.00072
0.00217,5.00E-04
0.00986,0.00227
0.00072,0.00017
0.00053,0.00012
0.04183,0.00963
0.00175,4.00E-04
0.00175,4.00E-04
0.00084,0.00019
0.0017,0.00039
